Title,Rating,Price,Stock,Category
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,38.0,15,Default
The Artist's Way: A Spiritual Path to Higher Creativity,5,45.7,15,Nonfiction
The Art of War,5,39.6,15,Default
The Argonauts,2,13.0,15,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,32.7,15,Business
Suddenly in Love (Lake Haven #1),2,66.5,15,Romance
Something More Than This,4,19.3,15,Romance
Soft Apocalypse,2,31.0,15,Science Fiction
So You've Been Publicly Shamed,2,14.5,15,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,2,28.5,15,Business
"Shobu Samurai, Project Aryoku (#3)",3,34.5,15,Add a comment
Secrets and Lace (Fatal Hearts #1),1,24.1,15,Default
Scarlett Epstein Hates It Here,5,51.7,15,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,1,43.9,15,Default
Redeeming Love,5,24.3,15,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,1,48.8,15,Default
Poems That Make Grown Women Cry,4,16.9,15,Poetry
"Nightingale, Sing",1,45.5,15,Young Adult
Night Sky with Exit Wounds,1,48.8,15,Poetry
Mrs. Houdini,5,35.9,15,Historical Fiction
Modern Romance,5,33.6,15,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),1,12.8,15,Default
Louisa: The Extraordinary Life of Mrs. Adams,2,20.0,15,Biography
Little Red,3,16.0,15,Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),5,57.7,15,Young Adult
Large Print Heart of the Pride,2,22.8,15,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,68.2,15,Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),1,51.1,15,Fantasy
Grumbles,2,26.3,15,Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,58.7,15,Travel
Frostbite (Vampire Academy #2),5,35.6,15,Young Adult
Follow You Home,1,25.4,15,Horror
First Steps for New Christians (Print Edition),1,34.5,15,Default
Finders Keepers (Bill Hodges Trilogy #2),5,63.6,15,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,49.5,15,Sequential Art
Eureka Trivia 6.0,4,64.9,15,Default
Drive: The Surprising Truth About What Motivates Us,4,41.5,15,Default
Done Rubbed Out (Reightman & Bailey #1),5,44.8,15,Default
Doing It Over (Most Likely To #1),3,42.3,15,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,50.1,15,Food and Drink
Dark Notes,5,22.8,15,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",3,23.1,15,Nonfiction
Close to You,4,58.8,15,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,2,44.9,15,Spirituality
Big Magic: Creative Living Beyond Fear,3,36.6,15,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,2,32.6,15,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),2,13.2,15,Default
Batman: The Long Halloween (Batman),2,43.4,15,Sequential Art
Batman: The Dark Knight Returns (Batman),5,18.3,15,Sequential Art
Ayumi's Violin,2,18.4,15,Default
Anonymous,4,55.6,15,Default
Amy Meets the Saints and Sages,3,21.9,15,Default
Amid the Chaos,1,43.5,15,Cultural
Amatus,5,60.1,15,Default
Agnostic: A Spirited Manifesto,5,14.9,15,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,3,29.3,14,History
You (You #1),5,51.8,14,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,44.4,14,Sequential Art
Wild Swans,2,17.1,14,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,4,62.6,14,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4,45.4,14,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,2,23.3,14,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",1,64.0,14,Sequential Art
Walt Disney's Alice in Wonderland,5,15.4,14,Childrens
V for Vendetta (V for Vendetta Complete),4,44.1,14,Default
Until Friday Night (The Field Party #1),2,55.0,14,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2,54.6,14,Default
Twenty Yawns,2,26.2,14,Childrens
Through the Woods,2,30.2,14,Sequential Art
This Is Where It Ends,2,32.2,14,Young Adult
The Year of Magical Thinking,2,51.1,14,Nonfiction
The Wright Brothers,4,67.5,14,Default
The White Queen (The Cousins' War #1),5,30.8,14,Add a comment
The Wedding Pact (The O'Malleys #2),3,38.7,14,Romance
The Time Keeper,5,33.1,14,Fiction
The Testament of Mary,4,62.6,14,Fiction
The Star-Touched Queen,5,54.7,14,Fantasy
The Songs of the Gods,5,52.8,14,Default
The Song of Achilles,5,44.4,14,Add a comment
The Rosie Project (Don Tillman #1),1,64.2,14,Default
The Power of Habit: Why We Do What We Do in Life and Business,3,20.1,14,Default
The Marriage of Opposites,4,33.4,14,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,1,12.4,14,Psychology
The Long Haul (Diary of a Wimpy Kid #9),1,52.4,14,Humor
The Loney,1,27.8,14,Horror
The Literature Book (Big Ideas Simply Explained),3,20.7,14,Nonfiction
The Last Mile (Amos Decker #2),2,64.4,14,Mystery
The Immortal Life of Henrietta Lacks,2,48.3,14,Add a comment
The Hidden Oracle (The Trials of Apollo #1),2,62.1,14,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,3,34.2,14,Food and Drink
The Guilty (Will Robie #4),2,16.4,14,Thriller
The First Hostage (J.B. Collins #2),3,30.7,14,Fiction
The Dovekeepers,1,58.0,14,Add a comment
The Darkest Lie,5,42.0,14,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),4,53.1,14,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,1,18.7,14,Nonfiction
The 14th Colony (Cotton Malone #11),1,46.6,14,Thriller
That Darkness (Gardiner and Renner #1),1,16.5,14,Mystery
Tastes Like Fear (DI Marnie Rome #3),1,12.7,14,Mystery
Take Me with You,3,53.7,14,Fiction
Swell: A Year of Waves,1,54.2,14,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),5,14.1,14,Sequential Art
Still Life with Bread Crumbs,3,31.4,14,Fiction
Steve Jobs,5,46.9,14,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4,53.2,14,Science
Someone Like You (The Harrisons #2),5,62.7,14,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",4,42.1,14,Sequential Art
Shtum,4,66.3,14,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,3,58.1,14,Travel
salt.,4,55.6,14,Poetry
Robin War,3,56.8,14,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2,30.3,14,Sequential Art
Rain Fish,3,28.0,14,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5,60.5,14,Poetry
Pet Sematary,3,12.5,14,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",3,62.0,14,Self Help
Once Was a Time,2,21.7,14,Childrens
Old School (Diary of a Wimpy Kid #10),5,14.1,14,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2,26.1,14,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",2,45.6,14,Sequential Art
My Name Is Lucy Barton,1,49.4,14,Fiction
My Mrs. Brown,3,29.1,14,Fiction
My Kind of Crazy,1,48.0,14,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),1,34.3,14,Fiction
More Than Music (Chasing the Dream #1),2,44.7,14,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,5,46.2,14,Business
Luis Paints the World,3,64.1,14,Childrens
Luckiest Girl Alive,3,59.2,14,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),2,61.2,14,Sequential Art
Love Is a Mix Tape (Music #1),1,21.4,14,Music
Looking for Lovely: Collecting the Moments that Matter,5,34.6,14,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4,55.7,14,Default
Let It Out: A Journey Through Journaling,5,31.8,14,Nonfiction
Lady Midnight (The Dark Artifices #1),5,19.3,14,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",1,23.2,14,Food and Drink
Island of Dragons (Unwanteds #7),1,35.2,14,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,4,30.9,14,Humor
I Am Pilgrim (Pilgrim #1),4,12.6,14,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",5,17.5,14,Humor
"Hush, Hush (Hush, Hush #1)",3,55.9,14,Default
Hold Your Breath (Search and Rescue #1),1,34.2,14,Romance
Hamilton: The Revolution,3,69.9,14,Nonfiction
Greek Mythic History,5,12.2,14,Default
God: The Most Unpleasant Character in All Fiction,5,35.7,14,Religion
Glory over Everything: Beyond The Kitchen House,3,54.5,14,Historical Fiction
Feathers: Displays of Brilliant Plumage,3,58.3,14,Art
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",4,17.9,14,Nonfiction
Every Last Word,3,55.2,14,Default
Eligible (The Austen Project #4),3,32.2,14,Fiction
El Deafo,5,68.5,14,Sequential Art
Eight Hundred Grapes,4,17.1,14,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",5,61.5,14,Nonfiction
"Eat Fat, Get Thin",2,64.2,14,Health
Don't Get Caught,1,65.8,14,Young Adult
Doctor Sleep (The Shining #2),2,47.7,14,Horror
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),5,44.6,14,Fantasy
Dear Mr. Knightley,5,13.3,14,Fiction
Daily Fantasy Sports,1,43.5,14,Default
Crazy Love: Overwhelmed by a Relentless God,2,56.7,14,Christian
Cometh the Hour (The Clifton Chronicles #6),3,29.7,14,Fiction
Code Name Verity (Code Name Verity #1),4,26.3,14,Add a comment
Clockwork Angel (The Infernal Devices #1),1,52.4,14,Default
City of Glass (The Mortal Instruments #3),4,66.6,14,Fantasy
City of Fallen Angels (The Mortal Instruments #4),4,13.3,14,Default
City of Bones (The Mortal Instruments #1),1,51.4,14,Default
City of Ashes (The Mortal Instruments #2),1,56.2,14,Default
Cell,4,24.1,14,Add a comment
Catching Jordan (Hundred Oaks),3,60.4,14,Young Adult
"Carry On, Warrior: Thoughts on Life Unarmed",3,37.8,14,Default
Carrie,2,54.9,14,Default
Buying In: The Secret Dialogue Between What We Buy and Who We Are,4,44.9,14,Nonfiction
Brain on Fire: My Month of Madness,5,58.6,14,Nonfiction
Batman: Europa,2,38.0,14,Sequential Art
Barefoot Contessa Back to Basics,1,33.3,14,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,5,60.1,14,Food and Drink
Balloon Animals,3,20.2,14,Fiction
Art Ops Vol. 1,3,58.0,14,Sequential Art
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),4,69.1,14,Young Adult
Angels Walking (Angels Walking #1),2,40.6,14,Add a comment
Angels & Demons (Robert Langdon #1),3,61.2,14,Default
All the Light We Cannot See,5,35.5,14,Historical
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",2,13.0,14,Sequential Art
Abstract City,5,67.0,14,Nonfiction
A Time of Torment (Charlie Parker #14),5,57.4,14,Mystery
A Study in Scarlet (Sherlock Holmes #1),2,19.9,14,Mystery
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",2,67.1,14,Add a comment
A People's History of the United States,2,48.5,14,Add a comment
A Man Called Ove,1,47.2,14,Fiction
A Distant Mirror: The Calamitous 14th Century,3,17.3,14,History
A Brush of Wings (Angels Walking #3),1,66.0,14,Add a comment
1491: New Revelations of the Americas Before Columbus,3,25.9,14,History
"The Three Searches, Meaning, and the Story",3,15.8,13,Default
Searching for Meaning in Gailana,1,46.0,13,Fantasy
Rook,4,45.0,13,Add a comment
My Kitchen Year: 136 Recipes That Saved My Life,2,13.7,13,Food and Drink
13 Hours: The Inside Account of What Really Happened In Benghazi,1,32.2,13,Nonfiction
Will You Won't You Want Me?,3,16.5,12,Womens Fiction
Tipping Point for Planet Earth: How Close Are We to the Edge?,1,44.6,12,Science
The Star-Touched Queen,5,38.4,12,Fantasy
The Silent Sister (Riley MacPherson #1),5,55.0,12,Fiction
The Midnight Watch: A Novel of the Titanic and the Californian,1,31.1,12,Add a comment
The Lonely City: Adventures in the Art of Being Alone,2,39.5,12,Nonfiction
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,4,70.3,12,Add a comment
The Golden Condom: And Other Essays on Love Lost and Found,1,46.8,12,Psychology
The Epidemic (The Program 0.6),5,17.2,12,Young Adult
The Dinner Party,2,67.2,12,Fiction
The Diary of a Young Girl,3,71.2,12,Nonfiction
The Children,3,14.1,12,Add a comment
Stars Above (The Lunar Chronicles #4.5),2,57.1,12,Young Adult
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,3,25.2,12,Nonfiction
Raspberry Pi Electronics Projects for the Evil Genius,4,59.0,12,Default
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,1,51.3,12,Business
Psycho: Sanitarium (Psycho #1.5),5,43.9,12,Horror
Poisonous (Max Revere Novels #3),3,31.8,12,Mystery
One with You (Crossfire #5),4,18.7,12,Add a comment
No Love Allowed (Dodge Cove #1),4,64.9,12,Young Adult
Murder at the 42nd Street Library (Raymond Ambler #1),4,64.6,12,Mystery
Most Wanted,3,41.9,12,Mystery
"Love, Lies and Spies",2,24.4,12,Historical Fiction
How to Speak Golf: An Illustrated Guide to Links Lingo,5,69.3,12,Default
Hide Away (Eve Duncan #20),1,14.1,12,Mystery
Furiously Happy: A Funny Book About Horrible Things,4,49.3,12,Nonfiction
Everyday Italian: 125 Simple and Delicious Recipes,5,23.9,12,Food and Drink
Equal Is Unfair: America's Misguided Fight Against Income Inequality,1,67.6,12,Politics
Eleanor & Park,5,67.1,12,Default
Dirty (Dive Bar #1),4,48.5,12,Romance
Can You Keep a Secret? (Fear Street Relaunch #4),1,57.8,12,Horror
Boar Island (Anna Pigeon #19),3,70.7,12,Mystery
A Paris Apartment,4,46.4,12,Historical Fiction
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",1,46.1,12,Food and Drink
Troublemaker: Surviving Hollywood and Scientology,2,57.5,11,Default
The Widow,2,32.4,11,Mystery
"The Sleep Revolution: Transforming Your Life, One Night at a Time",4,13.9,11,Nonfiction
The Improbability of Love,1,70.6,11,Fiction
The Art of Startup Fundraising,3,25.0,11,Business
Take Me Home Tonight (Rock Star Romance #3),3,64.1,11,Romance
Sleeping Giants (Themis Files #1),1,57.9,11,Science Fiction
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",2,25.1,11,Biography
Playing with Fire,3,16.3,11,Mystery
Off the Hook (Fishing for Trouble #1),3,56.6,11,Romance
Mothering Sunday,2,15.9,11,Fiction
"Mother, Can You Not?",5,20.1,11,Nonfiction
M Train,1,32.3,11,Autobiography
Lilac Girls,2,20.5,11,Historical Fiction
Lies and Other Acts of Love,1,53.6,11,Fiction
Lab Girl,1,48.5,11,Autobiography
Keep Me Posted,4,24.3,11,Womens Fiction
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,3,66.9,11,Psychology
Grey (Fifty Shades #4),4,57.6,11,Womens Fiction
"Exit, Pursued by a Bear",4,61.0,11,Young Adult
Daredevils,3,19.4,11,Fiction
Cravings: Recipes for What You Want to Eat,3,24.4,11,Food and Drink
Born for This: How to Find the Work You Were Meant to Do,5,25.7,11,Business
Arena,4,25.4,11,Science Fiction
Adultery,5,24.8,11,Default
